Experiment GCC Calibration
Calibrating the satisfaction threshold to achieve ~5% pass rate of proposals.
Experiment started 2014-05-02 160941

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	50
                 setNumOfRepresentatives :,  	100
                 setUnaffiliatedFraction :,  	0.5
                        setGreenFraction :,  	0.5
                       setIdeologyIssues :,  	5
Experiment Parameter Variations:
                setSatisfactionThreshold :,  	[0.6, 0.6125, 0.625, 0.6375, 0.65]
######################################################
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.6
 job ID, setSatisfactionThreshold, laws count, provisions, satisfaction
 4,               0.6375,3,14,0.6016
 4,               0.6375,4,20,0.6407
 4,               0.6375,1,7,0.6518
 4,               0.6375,3,14,0.6386
 4,               0.6375,2,4,0.6339
 4,               0.6375,4,23,0.6442
 4,               0.6375,3,12,0.6260
 4,               0.6375,3,24,0.6170
 4,               0.6375,3,20,0.6359
 4,               0.6375,3,18,0.6325
 4,               0.6375,4,21,0.6242
 4,               0.6375,1,10,0.6240
 4,               0.6375,3,17,0.6284
 4,               0.6375,2,8,0.6672
averages: ,               0.6375,2,13,0.6278
standard deviations: ,               0.6375,1,7,0.0230
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.65
 job ID, setSatisfactionThreshold, laws count, provisions, satisfaction
 5,                 0.65,2,2,0.6102
 5,                 0.65,2,9,0.6082
 5,                 0.65,0,0,0.0000
 5,                 0.65,2,19,0.6268
 5,                 0.65,2,14,0.6257
 5,                 0.65,3,14,0.6341
 5,                 0.65,2,2,0.6111
 5,                 0.65,1,2,0.6023
 5,                 0.65,4,22,0.6310
 5,                 0.65,3,16,0.6433
 5,                 0.65,1,7,0.6502
 5,                 0.65,4,14,0.6364
 5,                 0.65,2,3,0.6258
 5,                 0.65,2,10,0.6362
 5,                 0.65,1,7,0.6442
 5,                 0.65,2,9,0.6263
 5,                 0.65,3,5,0.6461
 5,                 0.65,0,0,0.0000
 5,                 0.65,3,10,0.6224
 5,                 0.65,3,3,0.5910
averages: ,                 0.65,2,8,0.5636
standard deviations: ,                 0.65,1,6,0.1885
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setSatisfactionThreshold, laws count, provisions, satisfaction
 1,                  0.6,13,37,0.5977
 2,               0.6125,13,34,0.6099
 3,                0.625,3,17,0.6215
 4,               0.6375,2,13,0.6278
 5,                 0.65,2,8,0.5636
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setSatisfactionThreshold, laws count, provisions, satisfaction
 1,                  0.6,4,7,0.0155
 2,               0.6125,3,9,0.0177
 3,                0.625,1,8,0.0237
 4,               0.6375,1,7,0.0230
 5,                 0.65,1,6,0.1885
######################################################
Experiment Completed 2014-05-02 162552
######################################################

